Item_ID,Guna,Domain,Reverse_Scored,Original_GPI_Item,Current_Proxy_Question,Scale,Likert_Labels,Source_Reference
R6,Rajas,Lifestyle,No,"I believe life is over when the body dies","To what extent do you live your life with the assumption that this physical existence is the only reality that matters?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R7,Rajas,Academic,No,"I become elated when things work out well for me","How often do you feel a surge of elation or excitement when things work out well for you?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R8,Rajas,Lifestyle,No,"I enjoy foods with strong tastes","How much do you crave spicy, salty, or very rich foods (like fried snacks or heavy desserts) compared to plain, simple meals?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R9,Rajas,Lifestyle,No,"Having possessions is very important to me","If you lost your phone or favorite watch today, how strongly would it affect your mood and sense of self-worth for the next week?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R10,Rajas,Lifestyle,No,"I prefer city night life to a walk in the forest","On a free evening, how often do you choose loud social outings (parties, clubs) over quiet, solitary activities?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R11,Rajas,Lifestyle,No,"For me, sex life is a major source of happiness","How often do you spend more than an hour a day thinking about or pursuing romantic/sexual gratification?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R12,Rajas,Lifestyle,No,"I often feel greedy","When looking at a buffet or a sale, do you often take more than you actually need, just because it's available?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R13,Rajas,Social,No,"When I give charity, I often do it grudgingly","If someone asks for a donation, do you feel annoyed or resentful, even if you eventually give a small amount?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R14,Rajas,Lifestyle,No,"Regardless of what I acquire or achieve, I have an uncontrollable desire to obtain more","After buying something you really wanted, how quickly do you start wanting a better version of it?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R15,Rajas,Lifestyle,Yes,"I never think about giving up my wealth and position for a simpler life","How often do you feel you could be genuinely happy living in a simple house without luxury items?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
R16,Rajas,Lifestyle,No,"The most important thing to know is how to increase enjoyment of physical pleasures","How frequently do you prioritize physical enjoyment (like food, comfort, or sex) over your other responsibilities?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T1,Tamas,Social,No,"I often feel like a victim","When things go wrong in your life, how often do you feel that it was completely someone else's fault at 'the world is against you'?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T2,Tamas,Lifestyle,No,"I often act without considering the consequences of my actions","How often do you act on impulse without stopping to think about the consequences?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T3,Tamas,Inner,No,"I usually feel discontented with life","On a typical day, what percentage of the time do you feel a general sense of 'blah' or dissatisfaction for no specific reason?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T4,Tamas,Social,No,"I often criticize and insult other people","In your head or with friends, how often do you find yourself making fun of or judging strangers/acquaintances?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T5,Tamas,Lifestyle,No,"I often feel depressed","How often do you struggle to get out of bed because the day ahead feels pointless or too heavy?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T6,Tamas,Academic,No,"I often put off or delay my responsibilities","How often do you put off important tasks until the last minute, even when you know it will stress you out?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T7,Tamas,Academic,No,"I often feel helpless","When faced with a complex problem, how often do you freeze up and wait for someone else to solve it for you?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T8,Tamas,Academic,No,"I am constantly dissatisfied with my position in life","Do you frequently look at your life and feel 'stuck' or like you are 'falling behind' everyone else?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T9,Tamas,Academic,No,"When things are tough, I often bail out","If a gym workout or a study session gets difficult, how likely are you to quit early and tell yourself 'I'll do it tomorrow'?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T10,Tamas,Inner,No,"I become greatly distressed when things don't work out for me","How often do you become greatly upset or distressed when things don't go according to plan?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T11,Tamas,Social,No,"I am often angry","How many times a week do you feel a flash of rage (at traffic, people, or technology)?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T12,Tamas,Academic,No,"I do not have strong determination","How many New Year's resolutions or self-improvement plans have you started and dropped within 2 weeks?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T13,Tamas,Inner,No,"I often feel fearful","How often do you feel fearful or afraid, even when there is no immediate danger?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T14,Tamas,Inner,No,"I often feel emotionally unbalanced","Do your moods swing wildly during the day (e.g., fine one minute, crying/angry the next)?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T15,Tamas,Social,No,"I often get exploited in my relationships","Do you feel like you are always the one giving in relationships while others just take from you?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T16,Tamas,Inner,No,"I often feel dejected","How often do you feel 'down in the dumps' or 'low energy' even when nothing bad has happened?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T17,Tamas,Inner,No,"I often neglect my responsibilities to my family","Do you often 'forget' or avoid doing chores/errands that your family asked you to do?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T18,Tamas,Social,No,"I often whine","When talking to friends, how often do you find yourself mostly complaining about your problems?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T19,Tamas,Social,No,"I often envy others","How often do you feel envious of what others have or have achieved?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T20,Tamas,Academic,No,"My job is a source of anxiety","How often does your work or studies feel like a major source of anxiety for you?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T21,Tamas,Lifestyle,No,"I sometimes cheat people","If you could get away with not paying a bus fare or sneaking into a movie, would you do it?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T22,Tamas,Lifestyle,No,"I don't have much will power","If there is a box of cookies in front of you and you decided not to eat one, how often do you end up giving in anyway?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T23,Tamas,Lifestyle,No,"I prefer to live in the village rather than the city","How often do you find yourself wishing you could escape to a quiet village rather than living in the busy city?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T24,Tamas,Lifestyle,No,"I am currently struggling with an addiction","How often do you feel controlled by a physical or psychological habit/addiction that you can't break?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T25,Tamas,Inner,No,"I often feel mentally unbalanced","I often feel mentally unbalanced or chaotic inside",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T26,Tamas,Social,No,"I often neglect my responsibilities to my friends","I often neglect my responsibilities towards my friends",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
T27,Tamas,Social,No,"I often act violently towards others","How often do you act aggressively or violently towards others?",1-5,Never/Rarely/Sometimes/Often/Always,"Wolf (1998); Das (1999)"
